,...1,Species,Colony,depth,Site,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
1,1,Oculina,4,4,Sdot Yam,20240121,1/21/2024,36845,377.5,1.3,19.4,16.61,265.4,489.7,224.3,0.458,361.9,0.12,0.58,373,0.36,1743,0.06,62213,--------,-------,900,4608,0,612.8,697.7,84.9,0.122,157.8,0.02,0.197,686,0.029,15389,0.775,15395,--------,-------,12418,12504,80.5
2,2,Oculina,4,4,Sdot Yam,20240121,1/21/2024,36856,351.9,1.4,19.3,16.6,404.8,720.1,315.3,0.438,397.8,0.05,0.5,336,0.43,1578,0.07,66244,--------,-------,910,5419,0,844.2,943.1,98.9,0.105,172.4,0,0.187,742,0.031,15453,0.782,15470,--------,-------,12627,12715,79.2
3,3,Oculina,4,4,Sdot Yam,20240121,1/21/2024,36866,565.5,1.4,19.4,16.6,224.7,398.7,174,0.436,332.5,0.16,0.53,270,0.42,1483,0.06,82547,--------,-------,805,5629,200,542.2,593.7,51.5,0.087,180.2,0,0.139,752,0.83,14795,0.032,16242,--------,-------,12781,12890,78.2
4,4,Oculina,4,4,Sdot Yam,20240121,1/21/2024,36876,354,1.4,19.4,16.59,311.4,555.1,243.7,0.439,369.9,0.13,0.52,331,0.4,1716,0.08,49301,--------,-------,928,4730,0,670.3,737.6,67.3,0.091,180.7,0,0.14,739,0.831,17478,0.029,18465,--------,-------,15067,15165,66.4
5,5,Oculina,4,4,Sdot Yam,20240121.01,1/21/2024,36889,262.9,1.3,19.4,16.58,384.3,697,312.7,0.449,426.2,0.06,0.5,362,0.43,1627,0.07,63976,--------,-------,953,5422,0,858,967.2,109.2,0.113,175.1,0.09,0.174,713,0.797,17129,0.029,17140,--------,-------,14187,14274,70.5
6,6,Oculina,1,4,Sdot Yam,20240121.01,1/21/2024,37207,900,1.2,19.4,16.46,194.9,345.7,150.8,0.436,298.7,0.14,0.6,332,0.33,1744,0.07,113387,--------,-------,835,9160,300,385.2,425.1,39.8,0.094,187.8,0,0.186,571,0.757,13492,0.057,13506,--------,-------,10938,11084,91.4
7,7,Oculina,1,4,Sdot Yam,20240121.01,1/21/2024,37220,733.8,1.2,19.4,16.46,300.1,441.8,141.7,0.321,321,0.23,0.56,516,0.35,1915,0.09,87144,--------,-------,1060,8806,0,647.5,699.9,52.4,0.075,243.8,0,0.17,852,0.065,12096,0.765,12097,--------,-------,10051,10183,99.5
8,8,Oculina,1,4,Sdot Yam,20240121.01,1/21/2024,37243,541.9,1.4,19.4,16.45,265.4,467.9,202.5,0.433,328.9,0.05,0.6,364,0.33,1857,0.07,102095,--------,-------,894,7553,200,627.1,699,71.9,0.103,198.4,0,0.216,770,0.042,13998,0.743,14001,--------,-------,11024,11148,90.7
9,9,Oculina,1,4,Sdot Yam,20240121.01,1/21/2024,37253,484.1,1.4,19.4,16.44,278,460.4,182.5,0.396,346.3,0.09,0.53,298,0.4,1604,0.07,81822,--------,-------,863,6597,0,601.8,665.1,63.3,0.095,182.5,0,0.195,805,0.045,14340,0.759,14346,--------,-------,11577,11702,86.4
10,10,Oculina,1,4,Sdot Yam,20240121.01,1/21/2024,37263,493.6,1.5,19.4,16.44,296.4,517.4,221,0.427,366.1,0.05,0.57,382,0.37,1765,0.07,77329,--------,-------,925,6243,0,530.9,597.2,66.3,0.111,181.4,0,0.23,834,0.726,14275,0.044,14283,--------,-------,11041,11185,90.6
