Unix_Timestamp,Battery,Temperature,PAR,Acceleration_X,Acceleration_Y,Acceleration_Z
1717305540,3.52,24.73,0,8,-264,-818
1717306140,3.58,24.472,-0.1,88,-269,-672
1717306740,3.58,24.438,0.1,120,-268,-640
1717307340,3.58,24.413,-0.1,134,-274,-616
1717307940,3.57,24.388,0,64,-264,-808
1717308540,3.57,24.422,-0.1,148,-308,-672
1717309140,3.57,24.463,0,96,-324,-640
1717309740,3.57,24.613,6.9,12,-292,-666
1717310340,3.57,24.896,3.8,268,-112,-648
1717310940,3.57,24.896,18.8,364,-300,-660
1717311540,3.57,24.88,12.3,288,-232,-712
1717312140,3.57,25.179,0.9,-144,419,-688
1717312740,3.56,25.346,3.7,-877,72,-506
1717313340,3.56,25.412,4.2,-295,1192,368
1717313940,3.56,25.362,-0.1,-500,608,-525
1717314540,3.56,22.835,0.5,540,753,-352
1717315140,3.56,21.889,35.8,1087,96,288
1717315740,3.56,21.621,40.4,1127,100,196
1717316340,3.56,21.521,38.8,1120,104,208
1717316940,3.56,21.487,38.8,999,64,380
1717317540,3.56,21.445,37.6,1006,64,387
1717318140,3.56,21.429,37.5,999,60,384
1717318740,3.56,21.429,38.3,1008,64,387
1717319340,3.56,21.42,40,1008,64,380
1717319940,3.55,21.437,39.2,1004,62,384
1717320540,3.55,21.437,36,999,62,384
1717321140,3.55,21.437,34.2,1000,64,380
1717321740,3.55,21.403,37.8,1016,67,384
1717322340,3.55,21.429,39.1,998,63,380
1717322940,3.55,21.395,40.8,1007,62,384
1717323540,3.55,21.412,38.6,1052,78,360
1717324140,3.55,21.328,38.1,1103,102,243
1717324740,3.55,21.278,37.1,1100,99,256
1717325340,3.55,21.278,36.5,1033,70,376
1717325940,3.55,21.336,35.5,1024,71,384
1717326540,3.54,21.345,36.4,999,62,377
1717327140,3.54,21.387,34.8,1102,104,248
1717327740,3.54,21.395,35.6,1004,60,384
1717328340,3.54,21.412,33.7,1006,60,384
1717328940,3.54,21.454,32.9,999,64,380
1717329540,3.54,21.487,30.5,1000,57,376
1717330140,3.54,21.538,30.4,1120,104,199
1717330740,3.54,21.588,28.6,1000,60,384
1717331340,3.54,21.596,25.4,1000,56,382
1717331940,3.54,21.462,26.5,999,60,380
1717332540,3.54,21.445,22.8,1004,64,388
1717333140,3.54,21.42,22.5,1004,60,384
