Israel.Standard.Time,Depth.m,Temperature.C,PAR.umol/s m^2
,,,
           2024-06-02 08:19:00,45,24.73,0
           2024-06-02 08:29:00,45,24.472,-0.1
           2024-06-02 08:39:00,45,24.438,0.1
           2024-06-02 08:49:00,45,24.413,-0.1
           2024-06-02 08:59:00,45,24.388,0
           2024-06-02 09:09:00,45,24.422,-0.1
           2024-06-02 09:19:00,45,24.463,0
           2024-06-02 09:29:00,45,24.613,6.9
           2024-06-02 09:39:00,45,24.896,3.8
           2024-06-02 09:49:00,45,24.896,18.8
           2024-06-02 09:59:00,45,24.88,12.3
           2024-06-02 10:09:00,45,25.179,0.9
           2024-06-02 10:19:00,45,25.346,3.7
           2024-06-02 10:29:00,45,25.412,4.2
           2024-06-02 10:39:00,45,25.362,-0.1
           2024-06-02 10:49:00,45,22.835,0.5
           2024-06-02 10:59:00,45,21.889,35.8
           2024-06-02 11:09:00,45,21.621,40.4
           2024-06-02 11:19:00,45,21.521,38.8
           2024-06-02 11:29:00,45,21.487,38.8
           2024-06-02 11:39:00,45,21.445,37.6
           2024-06-02 11:49:00,45,21.429,37.5
           2024-06-02 11:59:00,45,21.429,38.3
           2024-06-02 12:09:00,45,21.42,40
           2024-06-02 12:19:00,45,21.437,39.2
           2024-06-02 12:29:00,45,21.437,36
           2024-06-02 12:39:00,45,21.437,34.2
           2024-06-02 12:49:00,45,21.403,37.8
           2024-06-02 12:59:00,45,21.429,39.1
           2024-06-02 13:09:00,45,21.395,40.8
           2024-06-02 13:19:00,45,21.412,38.6
           2024-06-02 13:29:00,45,21.328,38.1
           2024-06-02 13:39:00,45,21.278,37.1
           2024-06-02 13:49:00,45,21.278,36.5
           2024-06-02 13:59:00,45,21.336,35.5
           2024-06-02 14:09:00,45,21.345,36.4
           2024-06-02 14:19:00,45,21.387,34.8
           2024-06-02 14:29:00,45,21.395,35.6
           2024-06-02 14:39:00,45,21.412,33.7
           2024-06-02 14:49:00,45,21.454,32.9
           2024-06-02 14:59:00,45,21.487,30.5
           2024-06-02 15:09:00,45,21.538,30.4
           2024-06-02 15:19:00,45,21.588,28.6
           2024-06-02 15:29:00,45,21.596,25.4
           2024-06-02 15:39:00,45,21.462,26.5
           2024-06-02 15:49:00,45,21.445,22.8
           2024-06-02 15:59:00,45,21.42,22.5
           2024-06-02 16:09:00,45,21.403,22.4
           2024-06-02 16:19:00,45,21.378,18.6
           2024-06-02 16:29:00,45,21.37,18
           2024-06-02 16:39:00,45,21.378,13.5
           2024-06-02 16:49:00,45,21.328,13.1
           2024-06-02 16:59:00,45,21.286,13.3
           2024-06-02 17:09:00,45,21.227,12.6
           2024-06-02 17:19:00,45,21.16,10.4
