MiniDOT Logger Concatenated Data File								
Sensor:             7530-872651								
Concatenation Date: 2025Jan13 13:37:43 IST								
								
								
            Unix Timestamp	               UTC_Date_&_Time	          Israel Standard Time	       Battery	   Temperature	           PAR	  Acceleration X	  Acceleration Y	  Acceleration Z
                  (Second)	                        (none)	                        (none)	        (Volt)	       (deg C)	 (umol/(s m^2)	             (g)	             (g)	             (g)
1718871540	           2024-06-20 08:19:00	           2024-06-20 11:19:00	3.48	28.156	29.3	-122	1004	-280
1718872140	           2024-06-20 08:29:00	           2024-06-20 11:29:00	3.48	28.083	1.2	-1312	-80	336
1718872740	           2024-06-20 08:39:00	           2024-06-20 11:39:00	3.49	28.156	352.8	1167	-40	270
1718873340	           2024-06-20 08:49:00	           2024-06-20 11:49:00	3.49	28.148	405	1169	-120	260
1718873940	           2024-06-20 08:59:00	           2024-06-20 11:59:00	3.49	28.107	396.9	1167	-128	275
1718874540	           2024-06-20 09:09:00	           2024-06-20 12:09:00	3.49	28.066	373.3	1166	-8	304
1718875140	           2024-06-20 09:19:00	           2024-06-20 12:19:00	3.49	28.05	348.6	1164	0	305
1718875740	           2024-06-20 09:29:00	           2024-06-20 12:29:00	3.49	28.042	336.9	1167	-96	284
1718876340	           2024-06-20 09:39:00	           2024-06-20 12:39:00	3.49	28.017	324.4	1167	-32	272
1718876940	           2024-06-20 09:49:00	           2024-06-20 12:49:00	3.5	27.959	312.6	1169	-32	286
1718877540	           2024-06-20 09:59:00	           2024-06-20 12:59:00	3.5	27.918	312.9	1167	-92	288
1718878140	           2024-06-20 10:09:00	           2024-06-20 13:09:00	3.5	27.869	312.8	1094	6	424
1718878740	           2024-06-20 10:19:00	           2024-06-20 13:19:00	3.5	27.836	317.3	1096	-120	391
1718879340	           2024-06-20 10:29:00	           2024-06-20 13:29:00	3.5	27.828	326.4	1089	-64	423
1718879940	           2024-06-20 10:39:00	           2024-06-20 13:39:00	3.5	27.902	342.7	1168	-128	294
1718880540	           2024-06-20 10:49:00	           2024-06-20 13:49:00	3.5	27.959	356.6	1166	-41	311
1718881140	           2024-06-20 10:59:00	           2024-06-20 13:59:00	3.5	27.968	373.2	1164	-121	295
1718881740	           2024-06-20 11:09:00	           2024-06-20 14:09:00	3.5	28.033	399.6	1168	-52	291
1718882340	           2024-06-20 11:19:00	           2024-06-20 14:19:00	3.5	28.14	414.4	1164	-52	289
1718882940	           2024-06-20 11:29:00	           2024-06-20 14:29:00	3.5	28.165	419.7	1164	-24	336
1718883540	           2024-06-20 11:39:00	           2024-06-20 14:39:00	3.5	28.206	430.1	1160	17	316
1718884140	           2024-06-20 11:49:00	           2024-06-20 14:49:00	3.5	28.23	407.1	1142	-90	368
1718884740	           2024-06-20 11:59:00	           2024-06-20 14:59:00	3.5	28.247	403.2	1136	-25	384
1718885340	           2024-06-20 12:09:00	           2024-06-20 15:09:00	3.5	28.263	384.6	1100	16	428
1718885940	           2024-06-20 12:19:00	           2024-06-20 15:19:00	3.5	28.263	385.1	1159	-32	312
1718886540	           2024-06-20 12:29:00	           2024-06-20 15:29:00	3.5	28.271	351.8	1103	-25	409
1718887140	           2024-06-20 12:39:00	           2024-06-20 15:39:00	3.51	28.263	349.1	1121	-48	408
1718887740	           2024-06-20 12:49:00	           2024-06-20 15:49:00	3.51	28.263	328	1160	-10	304
1718888340	           2024-06-20 12:59:00	           2024-06-20 15:59:00	3.51	28.279	309.8	1126	-10	408
1718888940	           2024-06-20 13:09:00	           2024-06-20 16:09:00	3.51	28.296	299.4	1107	-68	416
1718889540	           2024-06-20 13:19:00	           2024-06-20 16:19:00	3.51	28.312	278.5	1158	24	348
1718890140	           2024-06-20 13:29:00	           2024-06-20 16:29:00	3.51	28.337	263.9	1145	7	352
1718890740	           2024-06-20 13:39:00	           2024-06-20 16:39:00	3.51	28.361	245.1	1134	88	400
1718891340	           2024-06-20 13:49:00	           2024-06-20 16:49:00	3.51	28.402	229	1096	-56	400
1718891940	           2024-06-20 13:59:00	           2024-06-20 16:59:00	3.51	28.427	222.9	1100	-52	416
