7530-872651
OS REV: 1.08 Sensor Cal: 1702281600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1726179540, +3.52, +29.892,    -0.0, +1136.0,   -40.0,  +432.0
1726180140, +3.52, +29.876,    -0.1, +1164.0,   -16.0,  +335.0
1726180740, +3.52, +29.860,    -0.0, +1167.0,    +0.0,  +326.0
1726181340, +3.52, +29.844,    -0.0, +1136.0,   -25.0,  +448.0
1726181940, +3.52, +29.836,    -0.0, +1126.0,   -29.0,  +336.0
1726182540, +3.52, +29.819,    -0.0, +1120.0,   +15.0,  +416.0
1726183140, +3.52, +29.819,    +0.0, +1136.0,   -29.0,  +387.0
1726183740, +3.52, +29.803,    -0.0, +1134.0,   -24.0,  +392.0
1726184340, +3.52, +29.803,    +0.0, +1136.0,   -32.0,  +440.0
1726184940, +3.52, +29.803,    +0.1, +1148.0,   -36.0,  +396.0
1726185540, +3.52, +29.787,    +0.0, +1136.0,   -20.0,  +384.0
1726186140, +3.52, +29.779,    -0.2, +1139.0,   -36.0,  +376.0
1726186740, +3.52, +29.771,    -0.1, +1139.0,   -28.0,  +412.0
1726187340, +3.52, +29.763,    +0.1, +1148.0,   -20.0,  +415.0
1726187940, +3.52, +29.755,    -0.1, +1145.0,   -40.0,  +408.0
1726188540, +3.52, +29.738,    -0.1, +1144.0,   -32.0,  +464.0
1726189140, +3.52, +29.730,    -0.1, +1137.0,   -13.0,  +358.0
1726189740, +3.52, +29.730,    +0.1, +1129.0,   -32.0,  +480.0
1726190340, +3.52, +29.722,    -0.0, +1136.0,   -15.0,  +398.0
1726190940, +3.52, +29.722,    +0.1, +1134.0,   +14.0,  +392.0
1726191540, +3.52, +29.722,    -0.0, +1139.0,   -13.0,  +368.0
1726192140, +3.52, +29.714,    +0.0, +1127.0,   -20.0,  +536.0
1726192740, +3.52, +29.714,    +0.0, +1135.0,   -20.0,  +430.0
1726193340, +3.52, +29.714,    -0.1, +1136.0,   -16.0,  +464.0
1726193940, +3.52, +29.714,    -0.1, +1139.0,   +12.0,  +392.0
1726194540, +3.52, +29.714,    -0.1, +1136.0,    -8.0,  +329.0
1726195140, +3.52, +29.706,    -0.1, +1137.0,   -40.0,  +444.0
1726195740, +3.52, +29.706,    -0.0, +1132.0,   -16.0,  +472.0
1726196340, +3.52, +29.706,    -0.1, +1160.0,    -8.0,  +323.0
1726196940, +3.52, +29.706,    -0.0, +1139.0,   +16.0,  +339.0
1726197540, +3.52, +29.706,    +0.0, +1136.0,   +16.0,  +464.0
