Plot Title: 10m O. Patagonica,,,,,,,,
#,Date Tim,"e, GMT+03:00","Temp, °C (LGR S/N: 20794989, SEN S/N: 20794989, LBL: <C>)","Intensity, Lux (LGR S/N: 20794989, SEN S/N: 20794989, LBL: <LUX>)",Coupler Attached (LGR S/N: 20794989),Host Connected (LGR S/N: 20794989),Stopped (LGR S/N: 20794989),End Of File (LGR S/N: 20794989)
1,05/15/24,16:00:00,27.665,10.8,,,,
2,05/15/24,16:30:00,27.567,10.8,,,,
3,05/15/24,17:00:00,26.781,0,,,,
4,05/15/24,17:30:00,26.39,0,,,,
5,05/15/24,18:00:00,26.195,10.8,,,,
6,05/15/24,18:30:00,26.097,10.8,,,,
7,05/15/24,19:00:00,26.292,10.8,,,,
8,05/15/24,19:30:00,26.488,0,,,,
9,05/15/24,20:00:00,26.488,0,,,,
10,05/15/24,20:30:00,26.585,0,,,,
11,05/15/24,21:00:00,26.683,0,,,,
12,05/15/24,21:30:00,26.683,0,,,,
13,05/15/24,22:00:00,26.683,0,,,,
14,05/15/24,22:30:00,26.683,0,,,,
15,05/15/24,23:00:00,26.683,0,,,,
16,05/15/24,23:30:00,26.683,0,,,,
17,05/16/24,0:00:00,26.585,0,,,,
18,05/16/24,0:30:00,26.585,0,,,,
19,05/16/24,1:00:00,26.585,0,,,,
20,05/16/24,1:30:00,26.488,0,,,,
21,05/16/24,2:00:00,26.39,0,,,,
22,05/16/24,2:30:00,26.39,0,,,,
23,05/16/24,3:00:00,26.292,0,,,,
24,05/16/24,3:30:00,26.292,0,,,,
25,05/16/24,4:00:00,26.195,0,,,,
26,05/16/24,4:30:00,26.097,0,,,,
27,05/16/24,5:00:00,26.097,0,,,,
28,05/16/24,5:30:00,26,0,,,,
29,05/16/24,6:00:00,25.902,0,,,,
30,05/16/24,6:30:00,25.805,0,,,,
31,05/16/24,7:00:00,25.708,0,,,,
32,05/16/24,7:30:00,25.513,0,,,,
33,05/16/24,8:00:00,25.513,10.8,,,,
34,05/16/24,8:30:00,24.062,0,,,,
35,05/16/24,9:00:00,23.966,0,,,,
36,05/16/24,9:30:00,24.158,96.9,,,,
37,05/16/24,10:00:00,24.641,1248.6,,,,
38,05/16/24,10:30:00,24.641,1087.2,,,,
39,05/16/24,11:00:00,24.641,893.4,,,,
40,05/16/24,11:30:00,24.738,904.2,,,,
41,05/16/24,12:00:00,24.738,807.3,,,,
42,05/16/24,12:30:00,24.738,925.7,,,,
43,05/16/24,13:00:00,24.738,1044.1,,,,
44,05/16/24,13:30:00,24.738,1808.3,,,,
45,05/16/24,14:00:00,24.738,1001,,,,
46,05/16/24,14:30:00,24.738,3100,,,,
47,05/16/24,15:00:00,24.738,667.4,,,,
48,05/16/24,15:30:00,24.738,3444.5,,,,
49,05/16/24,16:00:00,24.641,3444.5,,,,
50,05/16/24,16:30:00,24.641,2325,,,,
