7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1720002540, +3.54, +28.181,   +46.3, +1006.0,   +60.0,  +387.0
1720003140, +3.54, +28.230,   +49.3, +1044.0,   +76.0,  +371.0
1720003740, +3.54, +28.271,   +50.2, +1027.0,   +76.0,  +380.0
1720004340, +3.54, +28.386,   +52.7, +1116.0,  +108.0,  +216.0
1720004940, +3.54, +28.484,   +51.5, +1120.0,  +104.0,  +208.0
1720005540, +3.55, +28.558,   +51.5, +1033.0,   +80.0,  +376.0
1720006140, +3.55, +28.591,   +51.1, +1112.0,  +112.0,  +227.0
1720006740, +3.54, +28.640,   +50.3, +1036.0,   +79.0,  +384.0
1720007340, +3.55, +28.705,   +48.4, +1008.0,   +70.0,  +384.0
1720007940, +3.55, +28.746,   +47.4, +1031.0,   +72.0,  +380.0
1720008540, +3.55, +28.787,   +46.1, +1123.0,  +103.0,  +200.0
1720009140, +3.55, +28.844,   +44.4, +1123.0,  +104.0,  +206.0
1720009740, +3.55, +28.885,   +41.3, +1110.0,  +104.0,  +227.0
1720010340, +3.55, +28.926,   +39.0, +1123.0,  +100.0,  +198.0
1720010940, +3.55, +28.983,   +36.6, +1103.0,  +112.0,  +238.0
1720011540, +3.55, +29.023,   +33.9, +1112.0,  +115.0,  +216.0
1720012140, +3.55, +29.064,   +31.3, +1108.0,  +104.0,  +230.0
1720012740, +3.55, +29.113,   +29.0, +1043.0,   +80.0,  +358.0
1720013340, +3.55, +29.162,   +26.4, +1024.0,   +80.0,  +376.0
1720013940, +3.55, +29.194,   +24.8, +1008.0,   +83.0,  +380.0
1720014540, +3.55, +29.203,   +22.8, +1032.0,   +78.0,  +371.0
1720015140, +3.55, +29.227,   +20.6, +1004.0,   +78.0,  +384.0
1720015740, +3.55, +29.260,   +18.7, +1008.0,   +80.0,  +380.0
1720016340, +3.55, +29.284,   +17.0, +1120.0,  +112.0,  +198.0
1720016940, +3.55, +29.284,   +15.0, +1016.0,   +80.0,  +376.0
1720017540, +3.55, +29.300,   +12.0, +1016.0,   +76.0,  +368.0
1720018140, +3.55, +29.300,   +11.7, +1127.0,   +99.0,  +198.0
1720018740, +3.55, +29.300,   +10.1, +1048.0,  +102.0,  +358.0
1720019340, +3.55, +29.292,    +8.9, +1030.0,   +97.0,  +376.0
1720019940, +3.55, +29.300,    +7.5, +1004.0,   +80.0,  +374.0
1720020540, +3.55, +29.292,    +6.4, +1008.0,   +96.0,  +376.0
1720021140, +3.55, +29.276,    +4.9, +1024.0,   +78.0,  +376.0
1720021740, +3.55, +29.178,    +4.0, +1048.0,   +67.0,  +368.0
1720022340, +3.55, +28.860,    +3.0, +1097.0,   +96.0,  +263.0
1720022940, +3.55, +28.452,    +2.3, +1116.0,  +102.0,  +224.0
1720023540, +3.55, +28.386,    +1.7, +1128.0,   +88.0,  +194.0
1720024140, +3.55, +28.238,    +1.0, +1036.0,   +64.0,  +376.0
1720024740, +3.55, +27.959,    +0.5, +1052.0,   +78.0,  +360.0
1720025340, +3.55, +27.408,    +0.3, +1056.0,   +72.0,  +364.0
1720025940, +3.55, +26.466,    +0.1, +1072.0,   +80.0,  +332.0
1720026540, +3.55, +25.703,    +0.1, +1078.0,   +86.0,  +318.0
1720027140, +3.55, +25.304,    -0.1, +1084.0,   +96.0,  +312.0
1720027740, +3.55, +24.871,    -0.0,  +999.0,   +64.0,  +376.0
1720028340, +3.55, +24.455,    +0.0, +1084.0,   +99.0,  +300.0
1720028940, +3.55, +24.138,    -0.1,  +999.0,   +79.0,  +376.0
1720029540, +3.55, +23.788,    -0.1, +1012.0,   +79.0,  +384.0
1720030140, +3.55, +23.687,    +0.1, +1088.0,  +120.0,  +284.0
1720030740, +3.55, +23.746,    +0.0, +1059.0,   +88.0,  +352.0
1720031340, +3.55, +23.704,    -0.1, +1064.0,   +88.0,  +344.0
1720031940, +3.55, +23.796,    -0.0,  +999.0,   +64.0,  +384.0
1720032540, +3.54, +23.545,    -0.0, +1091.0,   +96.0,  +296.0
1720033140, +3.54, +23.337,    -0.1, +1120.0,  +112.0,  +208.0
1720033740, +3.54, +23.320,    -0.1, +1052.0,   +79.0,  +368.0
1720034340, +3.54, +23.337,    +0.2, +1100.0,  +104.0,  +262.0
1720034940, +3.54, +23.220,    -0.0, +1011.0,   +76.0,  +390.0
1720035540, +3.54, +23.119,    -0.0, +1047.0,   +88.0,  +368.0
1720036140, +3.54, +23.153,    -0.1, +1033.0,   +76.0,  +384.0
1720036740, +3.54, +23.186,    -0.1, +1006.0,   +70.0,  +384.0
1720037340, +3.54, +23.220,    +0.0, +1006.0,   +71.0,  +384.0
1720037940, +3.54, +23.228,    +0.2, +1000.0,   +70.0,  +380.0
1720038540, +3.54, +23.211,    -0.0,  +999.0,   +71.0,  +380.0
1720039140, +3.54, +23.245,    -0.0, +1008.0,   +76.0,  +387.0
1720039740, +3.54, +23.261,    -0.0, +1086.0,  +108.0,  +300.0
1720040340, +3.54, +23.345,    +0.0, +1004.0,   +72.0,  +382.0
1720040940, +3.54, +23.387,    -0.1, +1028.0,   +72.0,  +387.0
1720041540, +3.54, +23.420,    -0.1, +1128.0,  +104.0,  +192.0
1720042140, +3.54, +23.445,    -0.1, +1120.0,  +104.0,  +206.0
1720042740, +3.54, +23.512,    -0.0, +1097.0,  +112.0,  +264.0
1720043340, +3.54, +23.470,    -0.0, +1008.0,   +71.0,  +376.0
1720043940, +3.53, +23.320,    -0.2, +1132.0,  +104.0,  +188.0
1720044540, +3.54, +23.253,    -0.1,  +999.0,   +72.0,  +376.0
1720045140, +3.53, +23.220,    -0.0, +1024.0,   +79.0,  +376.0
1720045740, +3.53, +23.195,    +0.1, +1063.0,   +99.0,  +335.0
1720046340, +3.53, +23.186,    -0.1, +1008.0,   +92.0,  +380.0
1720046940, +3.53, +23.195,    -0.0,  +999.0,   +83.0,  +372.0
1720047540, +3.53, +23.220,    +0.0,  +999.0,   +88.0,  +368.0
1720048140, +3.53, +23.295,    -0.1, +1139.0,   +96.0,  +184.0
1720048740, +3.53, +23.312,    +0.0, +1136.0,  +104.0,  +176.0
1720049340, +3.53, +23.545,    -0.0, +1081.0,  +118.0,  +291.0
1720049940, +3.53, +23.562,    -0.1, +1094.0,  +136.0,  +270.0
1720050540, +3.53, +23.687,    -0.1, +1100.0,  +150.0,  +224.0
1720051140, +3.53, +24.038,    +0.0, +1112.0,  +156.0,  +200.0
1720051740, +3.53, +24.288,    +0.1,  +992.0,  +108.0,  +374.0
1720052340, +3.53, +24.472,    -0.1,  +998.0,  +100.0,  +391.0
1720052940, +3.53, +24.771,    +0.1,  +998.0,   +78.0,  +368.0
1720053540, +3.53, +24.980,    +0.0,  +999.0,   +78.0,  +377.0
1720054140, +3.53, +25.229,    -0.0, +1078.0,  +110.0,  +304.0
1720054740, +3.53, +25.379,    -0.1,  +999.0,   +78.0,  +379.0
1720055340, +3.53, +25.495,    -0.0, +1143.0,   +99.0,  +191.0
1720055940, +3.53, +25.603,    -0.1, +1072.0,  +110.0,  +320.0
1720056540, +3.53, +25.661,    +0.2, +1076.0,  +116.0,  +316.0
1720057140, +3.53, +25.678,    +0.0, +1075.0,  +120.0,  +316.0
1720057740, +3.53, +25.703,    -0.0,  +999.0,   +89.0,  +360.0
1720058340, +3.53, +25.711,    -0.1, +1072.0,  +129.0,  +320.0
1720058940, +3.53, +25.703,    -0.0, +1072.0,  +128.0,  +304.0
1720059540, +3.53, +25.695,    -0.1, +1072.0,  +140.0,  +296.0
1720060140, +3.53, +25.612,    +0.1, +1139.0,  +126.0,  +199.0
1720060740, +3.53, +25.512,    +0.1, +1073.0,  +136.0,  +288.0
1720061340, +3.53, +25.412,    +0.2, +1072.0,  +140.0,  +304.0
1720061940, +3.53, +25.371,    +0.4,  +993.0,  +120.0,  +392.0
1720062540, +3.53, +25.396,    +0.9, +1072.0,  +152.0,  +295.0
1720063140, +3.53, +25.462,    +1.3, +1075.0,  +134.0,  +304.0
1720063740, +3.53, +25.562,    +1.6,  +991.0,  +131.0,  +399.0
1720064340, +3.53, +25.736,    +2.3, +1064.0,  +152.0,  +316.0
1720064940, +3.53, +25.836,    +2.9, +1063.0,  +172.0,  +344.0
1720065540, +3.53, +25.877,    +3.4, +1070.0,  +158.0,  +334.0
1720066140, +3.53, +25.886,    +4.0, +1068.0,  +142.0,  +320.0
1720066740, +3.53, +25.877,    +4.6, +1063.0,  +160.0,  +344.0
1720067340, +3.53, +25.894,    +5.1, +1070.0,  +140.0,  +323.0
1720067940, +3.53, +25.911,    +6.1, +1068.0,  +144.0,  +344.0
1720068540, +3.53, +25.927,    +6.7, +1072.0,  +126.0,  +328.0
1720069140, +3.53, +25.902,    +7.6, +1072.0,  +135.0,  +320.0
1720069740, +3.53, +25.828,    +8.0, +1071.0,  +128.0,  +304.0
1720070340, +3.53, +25.786,    +8.8, +1139.0,  +107.0,  +206.0
1720070940, +3.53, +25.803,    +9.9, +1072.0,  +115.0,  +326.0
1720071540, +3.53, +25.886,   +10.9, +1072.0,  +128.0,  +308.0
1720072140, +3.53, +26.143,   +13.0, +1070.0,  +128.0,  +312.0
1720072740, +3.53, +26.367,   +14.8, +1065.0,  +120.0,  +328.0
1720073340, +3.54, +26.441,   +15.5, +1063.0,  +115.0,  +340.0
1720073940, +3.54, +26.483,   +19.0, +1063.0,  +118.0,  +344.0
1720074540, +3.54, +26.474,   +21.4, +1065.0,  +118.0,  +336.0
1720075140, +3.54, +26.499,   +24.5, +1064.0,  +115.0,  +348.0
1720075740, +3.54, +26.623,   +28.5, +1065.0,  +113.0,  +339.0
1720076340, +3.54, +26.756,   +31.0, +1063.0,  +112.0,  +336.0
1720076940, +3.54, +26.921,   +31.7, +1060.0,  +104.0,  +344.0
1720077540, +3.54, +26.491,   +32.2, +1063.0,   +88.0,  +335.0
1720078140, +3.54, +26.275,   +32.7, +1068.0,  +103.0,  +336.0
1720078740, +3.54, +26.797,   +32.4, +1059.0,  +104.0,  +348.0
1720079340, +3.54, +27.202,   +33.4, +1054.0,  +103.0,  +358.0
1720079940, +3.54, +27.408,   +33.8, +1048.0,  +102.0,  +364.0
1720080540, +3.54, +27.532,   +32.2, +1047.0,  +104.0,  +371.0
1720081140, +3.54, +27.597,   +33.4, +1048.0,  +100.0,  +364.0
1720081740, +3.54, +27.622,   +32.1, +1047.0,   +96.0,  +368.0
1720082340, +3.54, +27.647,   +33.6, +1052.0,   +96.0,  +364.0
1720082940, +3.54, +27.704,   +34.2, +1048.0,  +102.0,  +368.0
1720083540, +3.54, +27.779,   +35.1, +1043.0,   +96.0,  +380.0
1720084140, +3.54, +27.861,   +34.4, +1043.0,   +92.0,  +368.0
1720084740, +3.54, +27.918,   +35.2, +1043.0,   +88.0,  +364.0
1720085340, +3.54, +27.968,   +35.3, +1043.0,   +88.0,  +371.0
1720085940, +3.54, +28.017,   +32.5, +1048.0,   +92.0,  +368.0
1720086540, +3.54, +28.050,   +36.1, +1043.0,   +92.0,  +364.0
1720087140, +3.54, +28.042,   +36.8, +1048.0,   +88.0,  +360.0
1720087740, +3.54, +28.017,   +38.0, +1041.0,   +83.0,  +366.0
1720088340, +3.54, +27.959,   +39.4, +1043.0,   +78.0,  +368.0
1720088940, +3.54, +27.927,   +38.7, +1046.0,   +80.0,  +368.0
