,...1,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,contrast,name,trinity,trin.anno,
1,ACROYT_G003607,237.638430711438,-3.48602193967485,0.691546989683059,-5.04090393231633,4.63338032864242E-07,0.0004346111655198,Down,25v5,,TRINITY_DN241490_c0_g1_i5.p1,Myeloid protein 1 (p33),
2,ACROYT_G002575,321.802436373562,1.70363148028024,0.327744867849507,5.19804167021316,2.01398987541563E-07,0.00015827840431424,Up,30v1,acidic SOMP (Full-Length p27),TRINITY_DN245078_c1_g1_i1.p1,acidic SOMP (Full-Length p27),
3,ACROYT_G040168,2336.21773690744,3.20161486851055,0.396530564202337,8.07406832547937,6.79937968946763E-16,5.07641687615653E-12,Up,30v1,carbonic anhydrase,TRINITY_DN247223_c0_g2_i7.p1,,carbonic anhydrase
4,ACROYT_G040174,320.948717980458,3.40763861023455,0.759680560585411,4.48562038708562,7.27020823565633E-06,0.00229340273192689,Up,30v1,carbonic anhydrase,TRINITY_DN247223_c0_g2_i7.p1,,carbonic anhydrase
5,ACROYT_G040177,524.639400107227,3.50926736003293,0.352003271893672,9.96941687829809,2.07443151064106E-23,3.09754113168923E-19,Up,30v1,carbonic anhydrase,TRINITY_DN247223_c0_g2_i7.p1,,carbonic anhydrase
6,ACROYT_G040178,144.024971266568,3.00212757119254,0.602199457167384,4.98527113477301,6.18749820673363E-07,0.00039454991518713,Up,30v1,,TRINITY_DN247223_c0_g2_i7.p1,,carbonic anhydrase
7,ACROYT_G005937,441.314940398838,-1.14700287486096,0.29860633525101,-3.8411873408405,0.0001224406209224,0.00713205065871054,Down,10v5,,TRINITY_DN238012_c0_g1_i2.p1,,unchracterized protein [S. pistillata]
8,ACROYT_G017153,163.326452548855,4.50128573417904,1.26926055542922,3.54638432189903,0.00039055616799224,0.0147039634368984,Up,10v5,,TRINITY_DN249118_c1_g1_i1.p1,,CUB domain-containing protein-like [S. pistillata]
9,ACROYT_G017491,27.1443868821571,2.18045025973382,0.493227089341581,4.42078366507514,9.83435928607582E-06,0.00120481852189557,Up,10v5,,TRINITY_DN245599_c0_g3_i1.p1,,"Omega-6 fatty acid desaturase, endoplasmic reticulum isozyme 1"
10,ACROYT_G040177,1759.83059770635,1.80687789644309,0.430326245799863,4.19885590079354,2.68266960040771E-05,0.00247962203304751,Up,10v5,carbonic anhydrase,TRINITY_DN247223_c0_g2_i7.p1,,carbonic anhydrase
