ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006032,chitin catabolic process,2/40,13/13093,0.15384615384615385,50.35769230769231,9.855995021105382,6.949105361520089e-4,0.3441341235621193,0.3177317445832943,ACROYT_G017652/ACROYT_G001851,2
GO:0004568,chitinase activity,2/40,15/13093,0.13333333333333333,43.64333333333333,9.147531910315518,9.318471827666009e-4,0.3441341235621193,0.3177317445832943,ACROYT_G017652/ACROYT_G001851,2
GO:0014888,striated muscle adaptation,2/40,18/13093,0.1111111111111111,36.36944444444444,8.312304939467397,0.0013499872443555215,0.3441341235621193,0.3177317445832943,ACROYT_G002233/ACROYT_G004936,2
GO:0007400,neuroblast fate determination,2/40,20/13093,0.1,32.7325,7.86157353305062,0.0016699924785865238,0.3441341235621193,0.3177317445832943,ACROYT_G018066/ACROYT_G037606,2
GO:0043500,muscle adaptation,2/40,25/13093,0.08,26.186,6.977542098189754,0.0026115096661359772,0.3441341235621193,0.3177317445832943,ACROYT_G002233/ACROYT_G004936,2
GO:0048867,stem cell fate determination,2/40,25/13093,0.08,26.186,6.977542098189754,0.0026115096661359772,0.3441341235621193,0.3177317445832943,ACROYT_G018066/ACROYT_G037606,2
GO:0045070,positive regulation of viral genome replication,2/40,30/13093,0.06666666666666667,21.821666666666665,6.320224113182172,0.003750361025622162,0.3441341235621193,0.3177317445832943,ACROYT_G004223/ACROYT_G037606,2
GO:0014017,neuroblast fate commitment,2/40,31/13093,0.06451612903225806,21.11774193548387,6.207733511117245,0.004001289161117132,0.3441341235621193,0.3177317445832943,ACROYT_G018066/ACROYT_G037606,2
GO:0042532,negative regulation of tyrosine phosphorylation of STAT protein,2/40,32/13093,0.0625,20.4578125,6.100404229724488,0.0042598272337381745,0.3441341235621193,0.3177317445832943,ACROYT_G032220/ACROYT_G004936,2
GO:0008061,chitin binding,2/40,37/13093,0.05405405405405406,17.693243243243245,5.628780820857924,0.00566504752667167,0.3441341235621193,0.3177317445832943,ACROYT_G017652/ACROYT_G001851,2
GO:0014016,neuroblast differentiation,2/40,38/13093,0.05263157894736842,17.227631578947367,5.545444005664727,0.005968276536616222,0.3441341235621193,0.3177317445832943,ACROYT_G018066/ACROYT_G037606,2
