moduleColor,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GOSLIM_ID,GOSLIM_Name
MEblack,GO:0005739,mitochondrion,20/45,220/2350,0.0909090909090909,4.74747474747475,8.15591243018586,4.45121305222007e-10,4.42450577390675e-7,4.17476929424009e-7,ACROYT_G002219/ACROYT_G002805/ACROYT_G003176/ACROYT_G004649/ACROYT_G008089/ACROYT_G011373/ACROYT_G017922/ACROYT_G019581/ACROYT_G025351/ACROYT_G031846/ACROYT_G032710/ACROYT_G033190/ACROYT_G034860/ACROYT_G036614/ACROYT_G037998/ACROYT_G038478/ACROYT_G038721/ACROYT_G042317/ACROYT_G042319/ACROYT_G043615,20,GO:0005739;GO:0043226,mitochondrion;organelle
MEblack,GO:0005743,mitochondrial inner membrane,8/45,35/2350,0.228571428571429,11.9365079365079,9.10645817712377,1.5176382762612e-7,7.54266223301815e-5,7.11692475867751e-5,ACROYT_G004649/ACROYT_G008089/ACROYT_G019581/ACROYT_G031846/ACROYT_G032710/ACROYT_G034664/ACROYT_G038478/ACROYT_G038721,8,NA,NA
MEblack,GO:0005740,mitochondrial envelope,9/45,69/2350,0.130434782608696,6.81159420289855,6.84493746864084,3.64708577112286e-6,0.00120840108549871,0.00114019418318262,ACROYT_G004649/ACROYT_G008089/ACROYT_G011373/ACROYT_G019581/ACROYT_G025351/ACROYT_G031846/ACROYT_G032710/ACROYT_G034860/ACROYT_G038478,9,NA,NA
MEblack,GO:0044281,small molecule metabolic process,17/45,276/2350,0.0615942028985507,3.21658615136876,5.47579374041147,4.89627851417155e-6,0.00121672521077163,0.00114804846213865,ACROYT_G002219/ACROYT_G002805/ACROYT_G004573/ACROYT_G004649/ACROYT_G008089/ACROYT_G016892/ACROYT_G023555/ACROYT_G025351/ACROYT_G034615/ACROYT_G034731/ACROYT_G034860/ACROYT_G035985/ACROYT_G036614/ACROYT_G037998/ACROYT_G038721/ACROYT_G042317/ACROYT_G042319,17,NA,NA
MEblack,GO:0031966,mitochondrial membrane,8/45,63/2350,0.126984126984127,6.63139329805996,6.32944094968562,1.67544289855178e-5,0.00333078048232094,0.00314277815286239,ACROYT_G004649/ACROYT_G008089/ACROYT_G011373/ACROYT_G019581/ACROYT_G031846/ACROYT_G032710/ACROYT_G034860/ACROYT_G038478,8,NA,NA
MEblack,GO:0019866,organelle inner membrane,6/45,36/2350,0.166666666666667,8.7037037037037,6.50700955250833,4.4343050495941e-5,0.00734616536549422,0.00693151894594446,ACROYT_G004649/ACROYT_G008089/ACROYT_G019581/ACROYT_G031846/ACROYT_G032710/ACROYT_G038478,6,NA,NA
MEblack,GO:0031967,organelle envelope,9/45,103/2350,0.087378640776699,4.56310679611651,5.16604537148631,9.97064670826395e-5,0.0141583183257348,0.013359167243704,ACROYT_G004649/ACROYT_G008089/ACROYT_G011373/ACROYT_G019581/ACROYT_G025351/ACROYT_G031846/ACROYT_G032710/ACROYT_G034860/ACROYT_G038478,9,NA,NA
MEblack,GO:0022900,electron transport chain,4/45,15/2350,0.266666666666667,13.9259259259259,7.0157830414621,1.3745904113354e-4,0.0170792858608424,0.0161152639013138,ACROYT_G004649/ACROYT_G036614/ACROYT_G038478/ACROYT_G038721,4,GO:0006091,generation of precursor metabolites and energy
MEblack,GO:0016829,lyase activity,5/45,29/2350,0.172413793103448,9.00383141762452,6.05859136831974,1.7306507764702e-4,0.0191140763534601,0.0180352028284793,ACROYT_G002219/ACROYT_G008089/ACROYT_G016892/ACROYT_G034731/ACROYT_G035302,5,GO:0016829;GO:0003824,lyase activity;catalytic activity
MEblack,GO:0046148,pigment biosynthetic process,4/45,19/2350,0.210526315789474,10.9941520467836,6.11031945744443,3.6901392100699e-4,0.0366799837480955,0.0346096214333931,ACROYT_G004649/ACROYT_G008089/ACROYT_G032710/ACROYT_G034860,4,NA,NA
MEblack,GO:0006753,nucleoside phosphate metabolic process,6/45,55/2350,0.109090909090909,5.6969696969697,4.92402283755863,5.0208593315559e-4,0.0383902628889738,0.036223365703776,ACROYT_G004649/ACROYT_G034615/ACROYT_G034731/ACROYT_G034860/ACROYT_G036614/ACROYT_G038721,6,GO:0055086,nucleobase-containing small molecule metabolic process
MEblack,GO:0007005,mitochondrion organization,6/45,55/2350,0.109090909090909,5.6969696969697,4.92402283755863,5.0208593315559e-4,0.0383902628889738,0.036223365703776,ACROYT_G003176/ACROYT_G025351/ACROYT_G031846/ACROYT_G032710/ACROYT_G036614/ACROYT_G038721,6,GO:0007005,mitochondrion organization
