"module","gene","rank"
"salmon","ACROYT_G033143",1
"salmon","ACROYT_G033146",2
"salmon","ACROYT_G033145",3
"salmon","ACROYT_G022526",4
"salmon","ACROYT_G007215",5
"salmon","ACROYT_G006300",6
"salmon","ACROYT_G000005",7
"salmon","ACROYT_G022047",8
"salmon","ACROYT_G033144",9
"salmon","ACROYT_G028154",10
"salmon","ACROYT_G037745",11
"salmon","ACROYT_G026475",12
"salmon","ACROYT_G012669",13
"salmon","ACROYT_G020629",14
"salmon","ACROYT_G036679",15
"salmon","ACROYT_G032697",16
"salmon","ACROYT_G038556",17
"salmon","ACROYT_G020692",18
"salmon","ACROYT_G009038",19
"salmon","ACROYT_G032104",20
"salmon","ACROYT_G033466",21
"salmon","ACROYT_G009603",22
"salmon","ACROYT_G013852",23
"salmon","ACROYT_G021007",24
"salmon","ACROYT_G034454",25
"salmon","ACROYT_G000553",26
"salmon","ACROYT_G038720",27
"salmon","ACROYT_G034857",28
"salmon","ACROYT_G043398",29
"salmon","ACROYT_G040824",30
"salmon","ACROYT_G010673",31
"salmon","ACROYT_G024699",32
"salmon","ACROYT_G010705",33
"salmon","ACROYT_G031792",34
"salmon","ACROYT_G042132",35
"salmon","ACROYT_G039741",36
"salmon","ACROYT_G042269",37
"salmon","ACROYT_G011857",38
"salmon","ACROYT_G032747",39
"salmon","ACROYT_G008559",40
"salmon","ACROYT_G026528",41
"salmon","ACROYT_G032529",42
"salmon","ACROYT_G044003",43
"salmon","ACROYT_G011632",44
"salmon","ACROYT_G043125",45
"salmon","ACROYT_G034029",46
"salmon","ACROYT_G022054",47
"salmon","ACROYT_G017726",48
"salmon","ACROYT_G010344",49
"salmon","ACROYT_G039254",50
"salmon","ACROYT_G024233",51
"salmon","ACROYT_G034966",52
"salmon","ACROYT_G004109",53
"salmon","ACROYT_G009150",54
"salmon","ACROYT_G040312",55
"salmon","ACROYT_G024117",56
"salmon","ACROYT_G021870",57
"salmon","ACROYT_G036395",58
"salmon","ACROYT_G031992",59
"salmon","ACROYT_G000830",60
"salmon","ACROYT_G002227",61
"salmon","ACROYT_G022053",62
"salmon","ACROYT_G018796",63
"yellow","ACROYT_G011871",1
"yellow","ACROYT_G001909",2
"yellow","ACROYT_G026803",3
"yellow","ACROYT_G019824",4
"yellow","ACROYT_G005498",5
"yellow","ACROYT_G016500",6
"yellow","ACROYT_G009087",7
"yellow","ACROYT_G037317",8
"yellow","ACROYT_G024947",9
"yellow","ACROYT_G020690",10
"yellow","ACROYT_G030730",11
"yellow","ACROYT_G013715",12
"yellow","ACROYT_G020691",13
"yellow","ACROYT_G005307",14
"yellow","ACROYT_G008979",15
"yellow","ACROYT_G026623",16
"yellow","ACROYT_G013132",17
"yellow","ACROYT_G007708",18
"yellow","ACROYT_G012516",19
"yellow","ACROYT_G041344",20
"yellow","ACROYT_G029490",21
"yellow","ACROYT_G006757",22
"yellow","ACROYT_G030732",23
"yellow","ACROYT_G025577",24
"yellow","ACROYT_G036945",25
"yellow","ACROYT_G035139",26
"yellow","ACROYT_G001680",27
"yellow","ACROYT_G011372",28
"yellow","ACROYT_G032915",29
"yellow","ACROYT_G018858",30
"yellow","ACROYT_G043362",31
"yellow","ACROYT_G043015",32
"yellow","ACROYT_G022508",33
"yellow","ACROYT_G006387",34
"yellow","ACROYT_G025257",35
"yellow","ACROYT_G039803",36
"yellow","ACROYT_G011819",37
"yellow","ACROYT_G002586",38
"yellow","ACROYT_G037326",39
"yellow","ACROYT_G028580",40
"yellow","ACROYT_G001064",41
"yellow","ACROYT_G012882",42
"yellow","ACROYT_G024930",43
"yellow","ACROYT_G039442",44
"yellow","ACROYT_G039131",45
"yellow","ACROYT_G037002",46
"yellow","ACROYT_G017487",47
"yellow","ACROYT_G008025",48
"yellow","ACROYT_G011293",49
"yellow","ACROYT_G022558",50
"yellow","ACROYT_G032053",51
"yellow","ACROYT_G025947",52
"yellow","ACROYT_G037112",53
"yellow","ACROYT_G013275",54
"yellow","ACROYT_G000485",55
"yellow","ACROYT_G000151",56
"yellow","ACROYT_G021400",57
"yellow","ACROYT_G013311",58
"yellow","ACROYT_G037218",59
"yellow","ACROYT_G000034",60
"yellow","ACROYT_G035292",61
"yellow","ACROYT_G012976",62
"yellow","ACROYT_G019542",63
"yellow","ACROYT_G020079",64
"yellow","ACROYT_G020879",65
"yellow","ACROYT_G037496",66
"yellow","ACROYT_G044703",67
"yellow","ACROYT_G029780",68
"yellow","ACROYT_G004194",69
"yellow","ACROYT_G021579",70
"yellow","ACROYT_G039473",71
"yellow","ACROYT_G020240",72
"yellow","ACROYT_G021442",73
"yellow","ACROYT_G015863",74
"yellow","ACROYT_G002019",75
"yellow","ACROYT_G031187",76
"yellow","ACROYT_G032687",77
