gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,ipr,description
ACROYT_G040177,524.639400107227,3.50926736003293,0.352003271893672,9.96941687829809,2.07443151064106e-23,3.09754113168923e-19,Up,"Alpha carbonic anhydrase domain superfamily;Carbonic anhydrase, alpha-class;Alpha carbonic anhydrase domain",Eukaryotic-type carbonic anhydrase
ACROYT_G040168,2336.21773690744,3.20161486851055,0.396530564202337,8.07406832547937,6.799379689467629e-16,5.07641687615653e-12,Up,"Alpha carbonic anhydrase domain superfamily;Alpha carbonic anhydrase domain;Carbonic anhydrase, alpha-class;-",carbonate dehydratase activity
ACROYT_G023646,105.797698991423,-7.02927020454757,0.876343735942167,-8.02113362171787,1.04773676178924e-15,5.21493510901231e-12,Down,Cyclodipeptide synthase,Cyclodipeptide synthase
ACROYT_G043412,406.198904831513,-5.54843981030288,0.758786750297648,-7.31225183903963,2.62702151867733e-13,9.80667132922247e-10,Down,NA,NA
ACROYT_G008002,46.3477345492718,7.6248008866678,1.11536760701024,6.83613262456687,8.13596280374754e-12,2.42972393171116e-8,Up,"Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain;Fibrinogen C-terminal domain-containing protein;Fibrinogen-like, C-terminal","complement activation, lectin pathway"
ACROYT_G018806,152.824587127514,3.81231286374135,0.589939111008897,6.46221413803476,1.03181942134105e-10,2.56785459991077e-7,Up,Neurotransmitter-gated ion-channel ligand-binding domain superfamily;Neurotransmitter-gated ion-channel transmembrane domain;Neurotransmitter-gated ion-channel transmembrane domain superfamily;Neurotransmitter-gated ion-channel;Neurotransmitter-gated ion-channel ligand-binding domain,acetylcholine-gated cation-selective channel activity
ACROYT_G014118,561.873256555415,3.47845434919668,0.541887899733644,6.41914010426594,1.37046239013849e-10,2.92339205850684e-7,Up,NA,protein kinase regulator activity
ACROYT_G011480,92.1344665896884,9.33933659244584,1.47664248111738,6.32471076233614,2.53707350457222e-10,4.73544769628406e-7,Up,NA,Propeller
ACROYT_G009042,655.161783832705,-4.5525068440809,0.771794168064132,-5.89860228602117,3.6659368100830104e-9,5.47397684481595e-6,Down,NA,NA
ACROYT_G023766,1926.62902821921,1.94481471044617,0.329690019102811,5.89891897770704,3.6589084067976103e-9,5.47397684481595e-6,Up,Cytochrome P450;Cytochrome P450 superfamily,monooxygenase activity
ACROYT_G007757,31.1560085089716,8.50255186356364,1.4605270039677,5.82156429868493,5.829936825054041e-9,7.91387424288245e-6,Up,NA,NA
ACROYT_G006537,312.385441565368,-1.66390515714695,0.28664700591979,-5.80471842644171,6.44742604088999e-9,8.02274713688077e-6,Down,"Helix-loop-helix DNA-binding domain superfamily;Myc-type, basic helix-loop-helix (bHLH) domain;Hairy and Enhancer of Split/HEY-related",Hairy and enhancer of split-related protein helt
ACROYT_G024966,306.121409016317,1.4135819780729,0.250154839791482,5.65082802016224,1.59676786842499e-8,1.83407213933246e-5,Up,Protein kinase domain;Protein kinase-like domain superfamily;Armadillo-type fold;NEK Serine/Threonine Protein Kinase,protein serine/threonine kinase activity
ACROYT_G018230,410.409547978766,1.30584669096003,0.233719810902069,5.58723150562189,2.30718070202015e-8,2.46077301732606e-5,Up,NA,NA
ACROYT_G000124,40.1920947158211,5.02057889440309,0.921218602352582,5.44993216765453,5.03890351470127e-8,5.01606048543462e-5,Up,MAM domain;Concanavalin A-like lectin/glucanase domain superfamily;MAM domain-containing protein,Astacin (Peptidase family M12A)
ACROYT_G040268,1164.83404104771,1.21354553811574,0.224042484558046,5.4165866822519,6.07475464789984e-8,5.66926477515252e-5,Up,"von Willebrand factor A-like domain superfamily;C-type lectin fold;von Willebrand factor, type A;C-type lectin-like;C-type lectin and snaclec domain-containing protein",structural constituent of cuticle
ACROYT_G017753,293.470530254868,-1.53277939658554,0.29143640032625,-5.25939585744836,1.44529454388488e-7,1.2694787134875e-4,Down,"Nuclear hormone receptor, ligand-binding domain;-;Zinc finger, nuclear hormone receptor-type;Nuclear hormone receptor-like domain superfamily;Nuclear hormone receptor family NR2 subfamily",steroid hormone receptor activity
ACROYT_G039609,249.495747329718,-1.96155779351235,0.375826008861223,-5.21932422786809,1.79577151652622e-7,1.4896922380427e-4,Down,"Cellulose/chitin-binding protein, N-terminal",Belongs to the glycosyl hydrolase 18 family
ACROYT_G002575,321.802436373562,1.70363148028024,0.327744867849507,5.19804167021316,2.01398987541563e-7,1.5827840431424e-4,Up,NA,RNA binding
ACROYT_G008212,112.932101019636,-1.62805796443892,0.316282071055759,-5.14748736469448,2.63998780821052e-7,1.9710148976099e-4,Down,Astacin-like metallopeptidase domain;-;Peptidase M12A,It is involved in the biological process described with
ACROYT_G001674,485.670452821674,-2.68352512743541,0.530759481649791,-5.05600977507561,4.28119399037605e-7,3.0441327935378e-4,Down,NA,NA
ACROYT_G043964,105.345913618735,-1.80737492760596,0.35810766481496,-5.04701547938063,4.48765004773326e-7,3.0458904778524e-4,Down,"Glutamine synthetase, N-terminal domain superfamily;Glutamine Synthetase;Glutamine synthetase/guanido kinase, catalytic domain;Glutamine synthetase, N-terminal domain;Glutamine synthetase, catalytic domain",glutamine biosynthetic process
ACROYT_G023110,235.524373305182,-2.48407008105119,0.498757730841653,-4.98051444106806,6.34154698934587e-7,3.9454991518713e-4,Down,"Peptidase M10A, catalytic domain;-;Peptidase M10, metallopeptidase;Peptidoglycan binding-like;PGBD-like superfamily",Belongs to the peptidase M10A family
ACROYT_G040178,144.024971266568,3.00212757119254,0.602199457167384,4.98527113477301,6.18749820673363e-7,3.9454991518713e-4,Up,"Carbonic anhydrase, alpha-class;Alpha carbonic anhydrase domain;Alpha carbonic anhydrase domain superfamily",carbonate dehydratase activity
ACROYT_G018286,308.692451296745,3.05750251878215,0.625174351011179,4.89063972928006,1.00508779701427e-6,6.0031883940068e-4,Up,NA,NA
ACROYT_G010324,44.8473194891333,4.49192065914157,0.921439738899605,4.87489357090881,1.0886713282899e-6,6.2523231823172e-4,Up,Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily;Isocitrate lyase;ICL/PEPM domain,Isocitrate lyase family
ACROYT_G036142,26.2952678113525,6.27147564018867,1.31229841445871,4.77900115636085,1.76168181338294e-6,9.7427529027533e-4,Up,NA,NA
ACROYT_G039608,525.890603970829,-1.62066113429673,0.341261688317439,-4.7490274759152,2.04397174775579e-6,0.00109002093348176,Down,"Starch-active lytic polysaccharide monooxygenase;Cellulose/chitin-binding protein, N-terminal","Lytic polysaccharide mono-oxygenase, cellulose-degrading"
ACROYT_G002908,170.146162686213,1.50762362355715,0.319021661267681,4.72577196660057,2.29242789186598e-6,0.00110421075101106,Up,Toll/interleukin-1 receptor homology (TIR) domain;Toll/interleukin-1 receptor homology (TIR) domain superfamily,regulation of response to stimulus
ACROYT_G004223,88.7144994466099,-1.66889341272486,0.352312338151624,-4.73697123830678,2.16935939393369e-6,0.00110421075101106,Down,Band 7/SPFH domain superfamily;Band-7 stomatin-like;Band 7 domain,regulation of acid-sensing ion channel activity
ACROYT_G026396,71.8073458041339,1.63719310615803,0.34618781171399,4.72920493085015,2.25400781057915e-6,0.00110421075101106,Up,NA,Prolyl 4-hydroxylase alpha subunit homologues.
ACROYT_G033679,28.6630766737479,-3.79459404772336,0.813853348690295,-4.66250345204068,3.12385845327627e-6,0.00145767045076004,Down,NA,NA
ACROYT_G009750,357.183017745203,1.79634863688219,0.386011111744315,4.65361898201534,3.26159254257917e-6,0.00147582120744825,Up,"Choloylglycine hydrolase/NAAA C-terminal;Peptidase C59 family enzymes;-;Nucleophile aminohydrolases, N-terminal",Choloylglycine hydrolase
ACROYT_G008017,195.159343699694,2.10900572603678,0.455529697110372,4.6297875625127,3.66041069485825e-6,0.00151825701376732,Up,"Fibronectin type II domain;Serine proteases, trypsin domain;Kringle-like fold;Peptidase S1, PA clan;Serine Proteases (Peptidase S1 Family)",serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
ACROYT_G011207,79.146861329856,2.61099335945669,0.562680413611315,4.64027767147461,3.47941337001043e-6,0.00151825701376732,Up,Protein phosphatase 1 regulatory subunit 3;CBM21 (carbohydrate binding type-21) domain,"Protein phosphatase 1, regulatory subunit"
ACROYT_G038086,95.3060918280542,4.9840210677274,1.07517650688941,4.63553754736203,3.56011092114706e-6,0.00151825701376732,Up,Actinoporin Pore-Forming Toxin;Sea anemone actinoporin-like;Cytolysin/lectin,Sea anemone cytotoxic protein
ACROYT_G022051,66.1318649728795,5.07461712425589,1.09747280574934,4.62391149709721,3.76570587761834e-6,0.00151971676120533,Up,DZIP3-like HEPN domain,interleukin-8 biosynthetic process
ACROYT_G027569,81.5560982979549,2.90527221973285,0.63049504145008906,4.60792239230138,4.06712400332705e-6,0.00159816567414946,Up,NA,NA
ACROYT_G031298,402.79810000612,1.88608376703594,0.410217683989502,4.59776318927345,4.27050989736214e-6,0.00163505778942081,Up,RNA-binding domain superfamily;RNA recognition motif domain;-,RNA binding motif protein 38
ACROYT_G022148,448.444236902747,-1.53372916939795,0.336684865730255,-4.55538494749787,5.22897300180704e-6,0.00195197562157457,Down,"Fork head domain;Forkhead box protein L2, forkhead domain;Forkhead box domain-containing protein;Winged helix DNA-binding domain superfamily",forkhead box
ACROYT_G021551,113.467410812758,2.29427036934322,0.505870280836179,4.53529384163643,5.75233425272048e-6,0.00209497207467371,Up,Ankyrin repeat-containing domain superfamily;Transient receptor potential cation channel;Ion transport domain;Ankyrin repeat,osmolarity-sensing cation channel activity
ACROYT_G002258,92.4006244418598,1.92467381413334,0.425942232841123,4.51862639047405,6.2242113997858e-6,0.00211227101412731,Up,NA,A disintegrin and metalloproteinase with thrombospondin motifs
ACROYT_G017652,495.30331479722,-2.00224928464812,0.442451651372621,-4.52535159138072,6.02951811176996e-6,0.00211227101412731,Down,"Glycoside hydrolase family 18, catalytic domain;Glycosyl Hydrolase Family 18;Chitinase insertion domain superfamily;Glycoside hydrolase superfamily",Belongs to the glycosyl hydrolase 18 family
ACROYT_G022620,45.3923725576334,4.29801040047728,0.950163105964518,4.52344484172992,6.08411804078955e-6,0.00211227101412731,Up,NA,NA
ACROYT_G001672,28.6663686001975,-2.21192677488766,0.493442192980952,-4.48264620729959,7.37230988029002e-6,0.00229340273192689,Down,NA,COG0189 Glutathione synthase Ribosomal protein S6 modification enzyme (glutaminyl transferase)
ACROYT_G002048,60.4897784143877,5.08134706161449,1.13332237003895,4.48358489689022,7.33993810367805e-6,0.00229340273192689,Up,NA,NA
ACROYT_G008091,32.6152347963469,6.44494659826929,1.43513546231628,4.49082805595737,7.09468089310024e-6,0.00229340273192689,Up,NA,-
ACROYT_G040174,320.948717980458,3.40763861023455,0.759680560585411,4.48562038708562,7.27020823565633e-6,0.00229340273192689,Up,"Alpha carbonic anhydrase domain superfamily;Carbonic anhydrase, alpha-class;Alpha carbonic anhydrase domain",carbonic anhydrase
ACROYT_G032930,210.717418241624,2.40282735217953,0.53687792086087,4.47555628349674,7.62126178904951e-6,0.00232246287824668,Up,NA,-
ACROYT_G040619,110.146890519786,4.11874001687687,0.926647791149008,4.44477400822354,8.79843052821971e-6,0.00262756329294754,Up,NA,-
ACROYT_G002233,221.34016800065,-1.96488988169018,0.448317037750314,-4.38281331343134,1.17156501184703e-5,0.00331872093241505,Down,Death effector domain;Death-like domain superfamily,CASP8 and FADD-like apoptosis regulator
ACROYT_G003039,32.589266424841,-4.24367706211226,0.968305028498763,-4.38258290230254,1.17280514995524e-5,0.00331872093241505,Down,"Transient receptor potential channel, canonical;Ion transport domain",store-operated calcium channel activity
ACROYT_G024700,28.5455543830637,3.76484771378746,0.859234784890763,4.38162860721019,1.1779547911733e-5,0.00331872093241505,Up,Pentraxin domain;Concanavalin A-like lectin/glucanase domain superfamily;Neuronal Pentraxin and Related,axonogenesis involved in innervation
ACROYT_G042118,51.1478178301563,-3.20291354745403,0.731931948061684,-4.37597177707032,1.2089265713138e-5,0.00334290584497364,Down,Chloroquine-resistance transporter-like,"CRT-like, chloroquine-resistance transporter-like"
ACROYT_G040968,345.62412771549,2.57623339063676,0.592883915298954,4.34525768731258,1.39112259488617e-5,0.00377677137942552,Up,Protein of unknown function DUF4419,Domain of unknown function (DUF4419)
ACROYT_G032220,31.8597174422173,-2.96522835273416,0.686683347627208,-4.31818881727703,1.57314823532239e-5,0.00419468740175606,Down,"Poly(ADP-ribose) polymerase, catalytic domain;Mono-ADP-ribosyltransferase ARTD/PARP;-",Poly (ADP-ribose) polymerase
ACROYT_G007013,302.84690557818,1.87464191801834,0.441579598528666,4.24530916796113,2.18292223892737e-5,0.005718490328362,Up,"Helix-loop-helix DNA-binding domain superfamily;Myc-type, basic helix-loop-helix (bHLH) domain;Orange domain;Hairy and Enhancer of Split/HEY-related",Hairy and enhancer of split-related protein helt
ACROYT_G020559,210.523902179379,1.12234202808762,0.265180749509853,4.2323661508692,2.31245536071396e-5,0.00592526509740079,Up,von Willebrand factor C/EGF & Fibrillin;NOTCH1 EGF-like calcium-binding domain;Growth factor receptor cysteine-rich domain superfamily,Fibulin 2
ACROYT_G033400,27.4054500564744,-2.24079695752073,0.529791086942835,-4.22958598728278,2.34121779230275e-5,0.00592526509740079,Down,"ATPase, nucleotide binding domain",ATP binding
ACROYT_G033284,141.293066792778,-1.35293697449808,0.322620511734889,-4.19358635079548,2.74578485098497e-5,0.00683334323248458,Down,"Myosin head, motor domain-like;Coagulation factor 5/8, C-terminal domain;Galactose-binding-like domain superfamily;P-loop containing nucleoside triphosphate hydrolase",Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
ACROYT_G016218,660.213433015356,1.79171500487411,0.428424922800698,4.18209798151171,2.888314381491e-5,0.00696042578595882,Up,Ribonuclease H-like superfamily;Piwi domain;PAZ domain superfamily;PAZ domain,piRNA binding
ACROYT_G017768,110.209474724022,-3.28260179674172,0.784943514443421,-4.1819592573732,2.89007767699871e-5,0.00696042578595882,Down,NA,-
ACROYT_G021503,98.3128489354164,2.10930005842944,0.505919804103417,4.16923797274058,3.056197538102e-5,0.00724367327602207,Up,"Gamma-glutamyltransferase, bacteria;-;Nucleophile aminohydrolases, N-terminal",glutathione hydrolase activity
ACROYT_G027882,20.8803400987366,-3.22515120920001,0.774550183537605,-4.16390219478068,3.12854172367508e-5,0.00729927890904942,Down,NA,NA
ACROYT_G025520,12.8780631898428,4.3951361648307,1.05849680130994,4.15224321829929,3.29232080448882e-5,0.00756322065425031,Up,NA,NA
ACROYT_G002970,359.896841909457,1.63456774437675,0.39556129145479,4.13227426365496,3.5919146242873e-5,0.00812643472270574,Up,BTB/POZ domain;Kelch repeat type 1;SKP1/BTB/POZ domain superfamily;Kelch-type beta-propeller,influenza virus
ACROYT_G009978,198.692053192284,2.18299170051235,0.529573404889049,4.1221701852073,3.75319750095917e-5,0.00836458881855556,Up,NA,NA
ACROYT_G015864,25.4111099870699,2.37268876578103,0.579196700565714,4.0965163708004,4.19413841309908e-5,0.00920983452711698,Up,PLAT/LH2 domain superfamily;Glycine-rich domain-containing protein-like,-
ACROYT_G009920,98.2173544936269,-6.43587512411588,1.57764826460215,-4.07941064464002,4.5150020112854e-5,0.00963114429035908,Down,"Golgi-associated plant pathogenesis-related protein 1, SCP domain;Cysteine-rich secretory protein-related;CAP superfamily;CAP domain",positive regulation of epithelial to mesenchymal transition
